Iteration	Plus_Modern	Minus_Modern	Binomial_p	Fisher_p
477	6	2	0.2890625	0.131934731934732
478	8	0	0.0078125	0.00699300699300699
479	8	0	0.0078125	0.00699300699300699
480	6	2	0.2890625	0.131934731934732
481	6	2	0.2890625	0.131934731934732
482	6	2	0.2890625	0.131934731934732
483	4	4	1	0.608391608391609
484	8	0	0.0078125	0.00699300699300699
485	8	0	0.0078125	0.00699300699300699
486	7	1	0.0703125	0.0405594405594406
487	8	0	0.0078125	0.00699300699300699
488	5	3	0.7265625	0.314685314685315
489	6	2	0.2890625	0.131934731934732
490	7	1	0.0703125	0.0405594405594406
491	8	0	0.0078125	0.00699300699300699
492	7	1	0.0703125	0.0405594405594406
493	5	3	0.7265625	0.314685314685315
494	7	1	0.0703125	0.0405594405594406
495	7	1	0.0703125	0.0405594405594406
496	7	1	0.0703125	0.0405594405594406
497	8	0	0.0078125	0.00699300699300699
498	6	2	0.2890625	0.131934731934732
499	7	1	0.0703125	0.0405594405594406
500	4	4	1	0.608391608391609
501	6	2	0.2890625	0.131934731934732
502	6	2	0.2890625	0.131934731934732
503	6	2	0.2890625	0.131934731934732
504	6	2	0.2890625	0.131934731934732
505	7	1	0.0703125	0.0405594405594406
506	5	3	0.7265625	0.314685314685315
507	4	4	1	0.608391608391609
508	7	1	0.0703125	0.0405594405594406
509	6	2	0.2890625	0.131934731934732
510	7	1	0.0703125	0.0405594405594406
511	8	0	0.0078125	0.00699300699300699
512	5	3	0.7265625	0.314685314685315
513	7	1	0.0703125	0.0405594405594406
514	7	1	0.0703125	0.0405594405594406
515	7	1	0.0703125	0.0405594405594406
516	6	2	0.2890625	0.131934731934732
517	8	0	0.0078125	0.00699300699300699
518	5	3	0.7265625	0.314685314685315
519	5	3	0.7265625	0.314685314685315
520	7	1	0.0703125	0.0405594405594406
521	5	3	0.7265625	0.314685314685315
522	7	1	0.0703125	0.0405594405594406
523	6	2	0.2890625	0.131934731934732
524	6	2	0.2890625	0.131934731934732
525	7	1	0.0703125	0.0405594405594406
526	7	1	0.0703125	0.0405594405594406
527	8	0	0.0078125	0.00699300699300699
528	7	1	0.0703125	0.0405594405594406
529	7	1	0.0703125	0.0405594405594406
530	8	0	0.0078125	0.00699300699300699
531	6	2	0.2890625	0.131934731934732
532	7	1	0.0703125	0.0405594405594406
533	8	0	0.0078125	0.00699300699300699
534	8	0	0.0078125	0.00699300699300699
535	6	2	0.2890625	0.131934731934732
536	6	2	0.2890625	0.131934731934732
537	7	1	0.0703125	0.0405594405594406
