pos	value	group	Pos	total	base	proportion	pos_from_5end	sample
63	12255	C.T	63	1565084	C	0.00783025064469383	63	PL0042.mapped_to_Pseudomonas.dd.q20.mapDamage
64	11741	C.T	64	1570691	C	0.00747505397306026	64	PL0042.mapped_to_Pseudomonas.dd.q20.mapDamage
65	13092	C.T	65	1608869	C	0.00813739341114783	65	PL0042.mapped_to_Pseudomonas.dd.q20.mapDamage
66	11687	C.T	66	1500907	C	0.00778662502073746	66	PL0042.mapped_to_Pseudomonas.dd.q20.mapDamage
67	11164	C.T	67	1503978	C	0.00742298092126348	67	PL0042.mapped_to_Pseudomonas.dd.q20.mapDamage
68	12752	C.T	68	1535527	C	0.00830464068687819	68	PL0042.mapped_to_Pseudomonas.dd.q20.mapDamage
69	11128	C.T	69	1436677	C	0.00774565194542684	69	PL0042.mapped_to_Pseudomonas.dd.q20.mapDamage
70	10870	C.T	70	1438970	C	0.00755401432969416	70	PL0042.mapped_to_Pseudomonas.dd.q20.mapDamage
1	11140	C.T	1	551575	C	0.0201967094230159	1	PL0046.mapped_to_Pseudomonas.dd.q20.mapDamage
2	10137	C.T	2	541839	C	0.0187085093542547	2	PL0046.mapped_to_Pseudomonas.dd.q20.mapDamage
3	7511	C.T	3	523108	C	0.014358411647308	3	PL0046.mapped_to_Pseudomonas.dd.q20.mapDamage
4	7046	C.T	4	513688	C	0.0137164971733815	4	PL0046.mapped_to_Pseudomonas.dd.q20.mapDamage
5	7994	C.T	5	528630	C	0.0151221080907251	5	PL0046.mapped_to_Pseudomonas.dd.q20.mapDamage
6	7930	C.T	6	502168	C	0.0157915279348744	6	PL0046.mapped_to_Pseudomonas.dd.q20.mapDamage
7	7071	C.T	7	503595	C	0.0140410448872606	7	PL0046.mapped_to_Pseudomonas.dd.q20.mapDamage
8	7894	C.T	8	533092	C	0.0148079505976454	8	PL0046.mapped_to_Pseudomonas.dd.q20.mapDamage
9	7631	C.T	9	520317	C	0.0146660593445919	9	PL0046.mapped_to_Pseudomonas.dd.q20.mapDamage
10	6822	C.T	10	516580	C	0.0132060861821983	10	PL0046.mapped_to_Pseudomonas.dd.q20.mapDamage
11	7721	C.T	11	535996	C	0.0144049582459571	11	PL0046.mapped_to_Pseudomonas.dd.q20.mapDamage
12	7390	C.T	12	522391	C	0.0141464918040318	12	PL0046.mapped_to_Pseudomonas.dd.q20.mapDamage
13	6711	C.T	13	520149	C	0.0129020722908244	13	PL0046.mapped_to_Pseudomonas.dd.q20.mapDamage
14	7576	C.T	14	538524	C	0.0140680823881573	14	PL0046.mapped_to_Pseudomonas.dd.q20.mapDamage
15	7392	C.T	15	524711	C	0.0140877549736903	15	PL0046.mapped_to_Pseudomonas.dd.q20.mapDamage
16	6796	C.T	16	521211	C	0.0130388652580241	16	PL0046.mapped_to_Pseudomonas.dd.q20.mapDamage
17	7539	C.T	17	540010	C	0.0139608525768041	17	PL0046.mapped_to_Pseudomonas.dd.q20.mapDamage
18	7287	C.T	18	525510	C	0.0138665296569047	18	PL0046.mapped_to_Pseudomonas.dd.q20.mapDamage
19	6551	C.T	19	520486	C	0.0125863135607874	19	PL0046.mapped_to_Pseudomonas.dd.q20.mapDamage
20	7394	C.T	20	536221	C	0.013789090692084	20	PL0046.mapped_to_Pseudomonas.dd.q20.mapDamage
21	7162	C.T	21	518239	C	0.0138198784730597	21	PL0046.mapped_to_Pseudomonas.dd.q20.mapDamage
22	6370	C.T	22	512375	C	0.0124323005611125	22	PL0046.mapped_to_Pseudomonas.dd.q20.mapDamage
23	7139	C.T	23	528813	C	0.0135000463301772	23	PL0046.mapped_to_Pseudomonas.dd.q20.mapDamage
24	6959	C.T	24	512255	C	0.0135850308928171	24	PL0046.mapped_to_Pseudomonas.dd.q20.mapDamage
25	6188	C.T	25	504646	C	0.0122620609298399	25	PL0046.mapped_to_Pseudomonas.dd.q20.mapDamage
26	7173	C.T	26	521237	C	0.0137614942914643	26	PL0046.mapped_to_Pseudomonas.dd.q20.mapDamage
27	6855	C.T	27	503256	C	0.013621298106729	27	PL0046.mapped_to_Pseudomonas.dd.q20.mapDamage
28	6341	C.T	28	495788	C	0.0127897407762995	28	PL0046.mapped_to_Pseudomonas.dd.q20.mapDamage
29	7077	C.T	29	509062	C	0.0139020394372395	29	PL0046.mapped_to_Pseudomonas.dd.q20.mapDamage
30	6871	C.T	30	491496	C	0.0139797678923125	30	PL0046.mapped_to_Pseudomonas.dd.q20.mapDamage
31	6216	C.T	31	482527	C	0.0128821806862621	31	PL0046.mapped_to_Pseudomonas.dd.q20.mapDamage
32	6878	C.T	32	493942	C	0.013924711808269	32	PL0046.mapped_to_Pseudomonas.dd.q20.mapDamage
33	6604	C.T	33	477053	C	0.013843325584369	33	PL0046.mapped_to_Pseudomonas.dd.q20.mapDamage
34	5899	C.T	34	467786	C	0.0126104671794368	34	PL0046.mapped_to_Pseudomonas.dd.q20.mapDamage
35	6612	C.T	35	477435	C	0.0138490056238022	35	PL0046.mapped_to_Pseudomonas.dd.q20.mapDamage
36	6414	C.T	36	460882	C	0.0139167943204551	36	PL0046.mapped_to_Pseudomonas.dd.q20.mapDamage
37	5816	C.T	37	449061	C	0.012951469844854	37	PL0046.mapped_to_Pseudomonas.dd.q20.mapDamage
38	6493	C.T	38	458746	C	0.014153801886011	38	PL0046.mapped_to_Pseudomonas.dd.q20.mapDamage
39	6179	C.T	39	441750	C	0.0139875495189587	39	PL0046.mapped_to_Pseudomonas.dd.q20.mapDamage
40	5438	C.T	40	429626	C	0.0126575207273303	40	PL0046.mapped_to_Pseudomonas.dd.q20.mapDamage
41	6132	C.T	41	438609	C	0.0139805612743925	41	PL0046.mapped_to_Pseudomonas.dd.q20.mapDamage
42	5790	C.T	42	419088	C	0.0138157141220937	42	PL0046.mapped_to_Pseudomonas.dd.q20.mapDamage
43	5122	C.T	43	407813	C	0.012559678087751	43	PL0046.mapped_to_Pseudomonas.dd.q20.mapDamage
44	5691	C.T	44	414645	C	0.0137249936692834	44	PL0046.mapped_to_Pseudomonas.dd.q20.mapDamage
45	5676	C.T	45	397306	C	0.0142862176760482	45	PL0046.mapped_to_Pseudomonas.dd.q20.mapDamage
46	4894	C.T	46	386616	C	0.012658555258965	46	PL0046.mapped_to_Pseudomonas.dd.q20.mapDamage
47	5344	C.T	47	394899	C	0.0135325741518717	47	PL0046.mapped_to_Pseudomonas.dd.q20.mapDamage
48	5290	C.T	48	377097	C	0.0140282208556419	48	PL0046.mapped_to_Pseudomonas.dd.q20.mapDamage
49	4693	C.T	49	365000	C	0.0128575342465753	49	PL0046.mapped_to_Pseudomonas.dd.q20.mapDamage
50	5173	C.T	50	371697	C	0.0139172498029309	50	PL0046.mapped_to_Pseudomonas.dd.q20.mapDamage
51	4847	C.T	51	355477	C	0.013635200027006	51	PL0046.mapped_to_Pseudomonas.dd.q20.mapDamage
52	4296	C.T	52	345694	C	0.0124271754788917	52	PL0046.mapped_to_Pseudomonas.dd.q20.mapDamage
53	4721	C.T	53	351710	C	0.0134229905319724	53	PL0046.mapped_to_Pseudomonas.dd.q20.mapDamage
54	4458	C.T	54	335947	C	0.0132699503195445	54	PL0046.mapped_to_Pseudomonas.dd.q20.mapDamage
55	4129	C.T	55	326068	C	0.01266300280923	55	PL0046.mapped_to_Pseudomonas.dd.q20.mapDamage
56	4521	C.T	56	332148	C	0.0136114021460313	56	PL0046.mapped_to_Pseudomonas.dd.q20.mapDamage
57	4385	C.T	57	316453	C	0.0138567180592379	57	PL0046.mapped_to_Pseudomonas.dd.q20.mapDamage
58	3810	C.T	58	306755	C	0.012420335446855	58	PL0046.mapped_to_Pseudomonas.dd.q20.mapDamage
59	4334	C.T	59	313041	C	0.0138448318271409	59	PL0046.mapped_to_Pseudomonas.dd.q20.mapDamage
60	3993	C.T	60	297266	C	0.0134324140668627	60	PL0046.mapped_to_Pseudomonas.dd.q20.mapDamage
61	3609	C.T	61	289190	C	0.0124796846363982	61	PL0046.mapped_to_Pseudomonas.dd.q20.mapDamage
62	4038	C.T	62	295249	C	0.0136765916226643	62	PL0046.mapped_to_Pseudomonas.dd.q20.mapDamage
63	3874	C.T	63	280611	C	0.0138055885193382	63	PL0046.mapped_to_Pseudomonas.dd.q20.mapDamage
64	3490	C.T	64	273042	C	0.0127819163352158	64	PL0046.mapped_to_Pseudomonas.dd.q20.mapDamage
65	3766	C.T	65	276552	C	0.013617692151928	65	PL0046.mapped_to_Pseudomonas.dd.q20.mapDamage
66	3614	C.T	66	264145	C	0.013681879270855	66	PL0046.mapped_to_Pseudomonas.dd.q20.mapDamage
67	3245	C.T	67	255664	C	0.0126924400776019	67	PL0046.mapped_to_Pseudomonas.dd.q20.mapDamage
68	3484	C.T	68	260549	C	0.0133717650038956	68	PL0046.mapped_to_Pseudomonas.dd.q20.mapDamage
69	3530	C.T	69	247600	C	0.0142568659127625	69	PL0046.mapped_to_Pseudomonas.dd.q20.mapDamage
70	2944	C.T	70	240267	C	0.0122530351650456	70	PL0046.mapped_to_Pseudomonas.dd.q20.mapDamage
1	21442	C.T	1	863610	C	0.0248283368650201	1	PL0051.mapped_to_Pseudomonas.dd.q20.mapDamage
2	17989	C.T	2	860676	C	0.0209010126923488	2	PL0051.mapped_to_Pseudomonas.dd.q20.mapDamage
3	12499	C.T	3	818803	C	0.0152649660541058	3	PL0051.mapped_to_Pseudomonas.dd.q20.mapDamage
4	11347	C.T	4	803616	C	0.0141199279257755	4	PL0051.mapped_to_Pseudomonas.dd.q20.mapDamage
5	12703	C.T	5	813964	C	0.0156063413123922	5	PL0051.mapped_to_Pseudomonas.dd.q20.mapDamage
6	12740	C.T	6	778780	C	0.0163589203626185	6	PL0051.mapped_to_Pseudomonas.dd.q20.mapDamage
7	11269	C.T	7	789996	C	0.0142646291879959	7	PL0051.mapped_to_Pseudomonas.dd.q20.mapDamage
8	12255	C.T	8	840488	C	0.0145808149551213	8	PL0051.mapped_to_Pseudomonas.dd.q20.mapDamage
9	11618	C.T	9	814627	C	0.0142617418769572	9	PL0051.mapped_to_Pseudomonas.dd.q20.mapDamage
10	10576	C.T	10	812737	C	0.0130128196452235	10	PL0051.mapped_to_Pseudomonas.dd.q20.mapDamage
