Run	Plus_Modern	Minus_Modern	Binomial_p
115	7	1	0.0703125
116	7	1	0.0703125
117	8	0	0.0078125
118	5	3	0.7265625
119	7	1	0.0703125
120	7	1	0.0703125
121	6	2	0.2890625
122	7	1	0.0703125
123	6	2	0.2890625
124	8	0	0.0078125
125	7	1	0.0703125
126	8	0	0.0078125
127	5	3	0.7265625
128	6	2	0.2890625
129	7	1	0.0703125
130	7	1	0.0703125
131	6	2	0.2890625
132	7	1	0.0703125
133	7	1	0.0703125
134	7	1	0.0703125
135	8	0	0.0078125
136	8	0	0.0078125
137	7	1	0.0703125
138	6	2	0.2890625
139	8	0	0.0078125
140	7	1	0.0703125
141	6	2	0.2890625
142	7	1	0.0703125
143	5	3	0.7265625
144	6	2	0.2890625
145	7	1	0.0703125
146	6	2	0.2890625
147	6	2	0.2890625
148	6	2	0.2890625
149	7	1	0.0703125
150	7	1	0.0703125
151	7	1	0.0703125
152	5	3	0.7265625
153	8	0	0.0078125
154	6	2	0.2890625
155	7	1	0.0703125
156	6	2	0.2890625
157	8	0	0.0078125
158	8	0	0.0078125
159	5	3	0.7265625
160	6	2	0.2890625
161	8	0	0.0078125
162	6	2	0.2890625
163	6	2	0.2890625
164	8	0	0.0078125
165	8	0	0.0078125
166	6	2	0.2890625
167	6	2	0.2890625
168	5	3	0.7265625
169	5	3	0.7265625
170	7	1	0.0703125
171	8	0	0.0078125
172	7	1	0.0703125
173	5	3	0.7265625
174	8	0	0.0078125
175	6	2	0.2890625
176	5	3	0.7265625
177	6	2	0.2890625
178	7	1	0.0703125
179	7	1	0.0703125
180	5	3	0.7265625
181	5	3	0.7265625
182	8	0	0.0078125
183	7	1	0.0703125
184	7	1	0.0703125
185	6	2	0.2890625
186	7	1	0.0703125
187	6	2	0.2890625
188	5	3	0.7265625
189	7	1	0.0703125
190	8	0	0.0078125
191	7	1	0.0703125
192	8	0	0.0078125
193	5	3	0.7265625
194	7	1	0.0703125
195	7	1	0.0703125
196	6	2	0.2890625
197	7	1	0.0703125
198	8	0	0.0078125
199	6	2	0.2890625
200	7	1	0.0703125
201	7	1	0.0703125
202	6	2	0.2890625
203	7	1	0.0703125
204	7	1	0.0703125
205	6	2	0.2890625
206	5	3	0.7265625
207	6	2	0.2890625
208	7	1	0.0703125
209	4	4	1
210	6	2	0.2890625
211	8	0	0.0078125
212	5	3	0.7265625
213	7	1	0.0703125
214	5	3	0.7265625
215	8	0	0.0078125
216	6	2	0.2890625
217	5	3	0.7265625
218	6	2	0.2890625
219	7	1	0.0703125
220	8	0	0.0078125
221	6	2	0.2890625
222	6	2	0.2890625
223	8	0	0.0078125
224	7	1	0.0703125
225	5	3	0.7265625
226	8	0	0.0078125
227	7	1	0.0703125
228	5	3	0.7265625
229	6	2	0.2890625
230	5	3	0.7265625
231	8	0	0.0078125
232	8	0	0.0078125
233	7	1	0.0703125
234	7	1	0.0703125
235	8	0	0.0078125
236	8	0	0.0078125
237	6	2	0.2890625
238	8	0	0.0078125
239	7	1	0.0703125
240	8	0	0.0078125
241	4	4	1
242	5	3	0.7265625
243	8	0	0.0078125
244	6	2	0.2890625
245	6	2	0.2890625
246	8	0	0.0078125
247	7	1	0.0703125
248	5	3	0.7265625
249	8	0	0.0078125
250	7	1	0.0703125
251	8	0	0.0078125
252	7	1	0.0703125
253	8	0	0.0078125
254	7	1	0.0703125
255	7	1	0.0703125
256	6	2	0.2890625
257	7	1	0.0703125
258	7	1	0.0703125
259	7	1	0.0703125
260	7	1	0.0703125
261	7	1	0.0703125
262	7	1	0.0703125
263	6	2	0.2890625
264	7	1	0.0703125
265	8	0	0.0078125
266	6	2	0.2890625
267	7	1	0.0703125
268	7	1	0.0703125
269	8	0	0.0078125
270	6	2	0.2890625
271	8	0	0.0078125
272	6	2	0.2890625
273	7	1	0.0703125
274	7	1	0.0703125
275	8	0	0.0078125
276	6	2	0.2890625
277	8	0	0.0078125
278	7	1	0.0703125
279	7	1	0.0703125
280	8	0	0.0078125
281	8	0	0.0078125
282	7	1	0.0703125
283	6	2	0.2890625
284	6	2	0.2890625
285	8	0	0.0078125
286	7	1	0.0703125
287	6	2	0.2890625
288	6	2	0.2890625
289	6	2	0.2890625
290	7	1	0.0703125
291	7	1	0.0703125
292	8	0	0.0078125
293	7	1	0.0703125
294	7	1	0.0703125
295	7	1	0.0703125
296	5	3	0.7265625
297	7	1	0.0703125
298	8	0	0.0078125
299	8	0	0.0078125
300	5	3	0.7265625
301	8	0	0.0078125
302	5	3	0.7265625
303	7	1	0.0703125
304	6	2	0.2890625
305	7	1	0.0703125
306	5	3	0.7265625
307	5	3	0.7265625
308	7	1	0.0703125
309	5	3	0.7265625
310	8	0	0.0078125
311	7	1	0.0703125
312	8	0	0.0078125
313	8	0	0.0078125
314	7	1	0.0703125
315	7	1	0.0703125
316	4	4	1
317	7	1	0.0703125
318	6	2	0.2890625
319	4	4	1
320	5	3	0.7265625
321	7	1	0.0703125
322	7	1	0.0703125
323	8	0	0.0078125
324	8	0	0.0078125
325	3	5	0.7265625
